density,E,G,rho_r,porosity,Er,material
6.814,135.5,54.4,0.867,0.133,0.639,Fe
6.854,135.5,54.4,0.872,0.128,0.639,Fe
6.828,135.5,54.8,0.869,0.131,0.639,Fe
6.838,135.9,54.6,0.870,0.130,0.641,Fe
6.847,137.4,54.7,0.871,0.129,0.648,Fe
6.814,135.6,54.7,0.867,0.133,0.640,Fe
6.963,146.2,58.8,0.886,0.114,0.689,Fe
6.998,144.0,57.8,0.890,0.110,0.679,Fe
6.993,146.6,58.9,0.890,0.110,0.692,Fe
7.019,147.0,59.0,0.893,0.107,0.693,Fe
7.001,146.8,58.8,0.891,0.109,0.693,Fe
6.997,147.0,58.9,0.890,0.110,0.694,Fe
7.128,157.5,62.6,0.907,0.093,0.743,Fe
7.120,157.2,62.5,0.906,0.094,0.741,Fe
7.139,157.1,62.7,0.908,0.092,0.741,Fe
7.108,158.1,62.8,0.904,0.096,0.746,Fe
7.107,157.0,62.5,0.904,0.096,0.741,Fe
7.116,157.4,62.6,0.905,0.095,0.743,Fe
7.061,145.6,58.15,0.893,0.107,0.710,DiSA
7.135,147.3,58.51,0.902,0.098,0.719,DiSA
7.172,165.1,65.44,0.913,0.087,0.805,ACrM
7.184,166.7,65.99,0.915,0.085,0.813,ACrM
